COM;
 
List available comets:
 COM;
Continue [ <cr>=yes, n=no, ? ] : 
Searching ...   - \ | *******************************************************************************
JPL/DASTCOM3               Small-body Search Results       2011-Nov-27 22:48:29

 List available comets:                                                  
    COM;

 Matching small-bodies: 

    Record #  Epoch-yr  Primary Desig  Name                    
    --------  --------  -------------  -------------------------
     900001     -239    1P              Halley                 
     900002     -163    1P              Halley                 
     900003      -86    1P              Halley                 
     900004      -11    1P              Halley                 
     900005       66    1P              Halley                 
     900006      141    1P              Halley                 
     900007      218    1P              Halley                 
     900008      295    1P              Halley                 
     900009      374    1P              Halley                 
     900010      451    1P              Halley                 
     900011      530    1P              Halley                 
     900012      607    1P              Halley                 
     900013      684    1P              Halley                 
     900014      760    1P              Halley                 
     900015      837    1P              Halley                 
     900016      912    1P              Halley                 
     900017      989    1P              Halley                 
     900018     1066    1P              Halley                 
     900019     1145    1P              Halley                 
     900020     1222    1P              Halley                 
     900021     1301    1P              Halley                 
     900022     1378    1P              Halley                 
     900023     1456    1P              Halley                 
     900024     1531    1P              Halley                 
     900025     1607    1P              Halley                 
     900026     1607    1P              Halley                 
     900027     1682    1P              Halley                 
     900028     1682    1P              Halley                 
     900029     1759    1P              Halley                 
     900030     1759    1P              Halley                 
     900031     1835    1P              Halley                 
     900032     1910    1P              Halley                 
     900033     1994    1P              Halley                 
     900034     1786    2P              Encke                  
     900035     1796    2P              Encke                  
     900036     1805    2P              Encke                  
     900037     1819    2P              Encke                  
     900038     1822    2P              Encke                  
     900039     1825    2P              Encke                  
     900040     1828    2P              Encke                  
     900041     1832    2P              Encke                  
     900042     1835    2P              Encke                  
     900043     1838    2P              Encke                  
     900044     1842    2P              Encke                  
     900045     1845    2P              Encke                  
     900046     1848    2P              Encke                  
     900047     1852    2P              Encke                  
     900048     1855    2P              Encke                  
     900049     1858    2P              Encke                  
     900050     1862    2P              Encke                  
     900051     1865    2P              Encke                  
     900052     1868    2P              Encke                  
     900053     1872    2P              Encke                  
     900054     1875    2P              Encke                  
     900055     1878    2P              Encke                  
     900056     1881    2P              Encke                  
     900057     1885    2P              Encke                  
     900058     1888    2P              Encke                  
     900059     1891    2P              Encke                  
     900060     1895    2P              Encke                  
     900061     1898    2P              Encke                  
     900062     1901    2P              Encke                  
     900063     1904    2P              Encke                  
     900064     1908    2P              Encke                  
     900065     1911    2P              Encke                  
     900066     1914    2P              Encke                  
     900067     1918    2P              Encke                  
     900068     1921    2P              Encke                  
     900069     1924    2P              Encke                  
     900070     1928    2P              Encke                  
     900071     1931    2P              Encke                  
     900072     1934    2P              Encke                  
     900073     1937    2P              Encke                  
     900074     1941    2P              Encke                  
     900075     1947    2P              Encke                  
     900076     1951    2P              Encke                  
     900077     1954    2P              Encke                  
     900078     1957    2P              Encke                  
     900079     1961    2P              Encke                  
     900080     1964    2P              Encke                  
     900081     1967    2P              Encke                  
     900082     1971    2P              Encke                  
     900083     1974    2P              Encke                  
     900084     1977    2P              Encke                  
     900085     1980    2P              Encke                  
     900086     1984    2P              Encke                  
     900087     1987    2P              Encke                  
     900088     1990    2P              Encke                  
     900089     1994    2P              Encke                  
     900090     1995    2P              Encke                  
     900091     1998    2P              Encke                  
     900092     2010    2P              Encke                  
     900093     1772    3D              Biela                  
     900094     1805    3D              Biela                  
     900095     1826    3D              Biela                  
     900096     1832    3D              Biela                  
     900097     1843    4P              Faye                   
     900098     1851    4P              Faye                   
     900099     1858    4P              Faye                   
     900100     1866    4P              Faye                   
     900101     1873    4P              Faye                   
     900102     1881    4P              Faye                   
     900103     1888    4P              Faye                   
     900104     1896    4P              Faye                   
     900105     1910    4P              Faye                   
     900106     1925    4P              Faye                   
     900107     1932    4P              Faye                   
     900108     1940    4P              Faye                   
     900109     1947    4P              Faye                   
     900110     1955    4P              Faye                   
     900111     1962    4P              Faye                   
     900112     1969    4P              Faye                   
     900113     1977    4P              Faye                   
     900114     1984    4P              Faye                   
     900115     1991    4P              Faye                   
     900116     2000    4P              Faye                   
     900117     2008    4P              Faye                   
     900118     1846    5D              Brorsen                
     900119     1857    5D              Brorsen                
     900120     1868    5D              Brorsen                
     900121     1873    5D              Brorsen                
     900122     1879    5D              Brorsen                
     900123     1879    5D              Brorsen                
     900124     1678    6P              d'Arrest               
     900125     1851    6P              d'Arrest               
     900126     1857    6P              d'Arrest               
     900127     1870    6P              d'Arrest               
     900128     1877    6P              d'Arrest               
     900129     1890    6P              d'Arrest               
     900130     1897    6P              d'Arrest               
     900131     1910    6P              d'Arrest               
     900132     1923    6P              d'Arrest               
     900133     1943    6P              d'Arrest               
     900134     1950    6P              d'Arrest               
     900135     1963    6P              d'Arrest               
     900136     1970    6P              d'Arrest               
     900137     1976    6P              d'Arrest               
     900138     1982    6P              d'Arrest               
     900139     1989    6P              d'Arrest               
     900140     1995    6P              d'Arrest               
     900141     2002    6P              d'Arrest               
     900142     2009    6P              d'Arrest               
     900143     1819    7P              Pons-Winnecke          
     900144     1858    7P              Pons-Winnecke          
     900145     1869    7P              Pons-Winnecke          
     900146     1875    7P              Pons-Winnecke          
     900147     1886    7P              Pons-Winnecke          
     900148     1892    7P              Pons-Winnecke          
     900149     1898    7P              Pons-Winnecke          
     900150     1909    7P              Pons-Winnecke          
     900151     1915    7P              Pons-Winnecke          
     900152     1921    7P              Pons-Winnecke          
     900153     1927    7P              Pons-Winnecke          
     900154     1933    7P              Pons-Winnecke          
     900155     1939    7P              Pons-Winnecke          
     900156     1945    7P              Pons-Winnecke          
     900157     1951    7P              Pons-Winnecke          
     900158     1964    7P              Pons-Winnecke          
     900159     1970    7P              Pons-Winnecke          
     900160     1976    7P              Pons-Winnecke          
     900161     1983    7P              Pons-Winnecke          
     900162     1989    7P              Pons-Winnecke          
     900163     1995    7P              Pons-Winnecke          
     900164     2002    7P              Pons-Winnecke          
     900165     2008    7P              Pons-Winnecke          
     900166     1790    8P              Tuttle                 
     900167     1858    8P              Tuttle                 
     900168     1871    8P              Tuttle                 
     900169     1885    8P              Tuttle                 
     900170     1899    8P              Tuttle                 
     900171     1912    8P              Tuttle                 
     900172     1926    8P              Tuttle                 
     900173     1939    8P              Tuttle                 
     900174     1967    8P              Tuttle                 
     900175     1980    8P              Tuttle                 
     900176     1994    8P              Tuttle                 
     900177     2007    8P              Tuttle                 
     900178     1867    9P              Tempel 1               
     900179     1873    9P              Tempel 1               
     900180     1879    9P              Tempel 1               
     900181     1967    9P              Tempel 1               
     900182     1972    9P              Tempel 1               
     900183     1978    9P              Tempel 1               
     900184     1983    9P              Tempel 1               
     900185     1988    9P              Tempel 1               
     900186     1994    9P              Tempel 1               
     900187     2006    9P              Tempel 1               
     900188     2009    9P              Tempel 1               
     900189     2010    9P              Tempel 1               
     900190     1873    10P             Tempel 2               
     900191     1878    10P             Tempel 2               
     900192     1894    10P             Tempel 2               
     900193     1899    10P             Tempel 2               
     900194     1904    10P             Tempel 2               
     900195     1915    10P             Tempel 2               
     900196     1920    10P             Tempel 2               
     900197     1925    10P             Tempel 2               
     900198     1930    10P             Tempel 2               
     900199     1946    10P             Tempel 2               
     900200     1951    10P             Tempel 2               
     900201     1957    10P             Tempel 2               
     900202     1962    10P             Tempel 2               
     900203     1967    10P             Tempel 2               
     900204     1972    10P             Tempel 2               
     900205     1978    10P             Tempel 2               
     900206     1983    10P             Tempel 2               
     900207     1988    10P             Tempel 2               
     900208     1994    10P             Tempel 2               
     900209     1999    10P             Tempel 2               
     900210     2003    10P             Tempel 2               
     900211     1869    11P             Tempel-Swift-LINEAR    
     900212     1880    11P             Tempel-Swift-LINEAR    
     900213     1891    11P             Tempel-Swift-LINEAR    
     900214     1908    11P             Tempel-Swift-LINEAR    
     900215     2002    11P             Tempel-Swift-LINEAR    
     900216     1812    12P             Pons-Brooks            
     900217     1884    12P             Pons-Brooks            
     900218     1954    12P             Pons-Brooks            
     900219     1815    13P             Olbers                 
     900220     1887    13P             Olbers                 
     900221     1956    13P             Olbers                 
     900222     1884    14P             Wolf                   
     900223     1891    14P             Wolf                   
     900224     1898    14P             Wolf                   
     900225     1912    14P             Wolf                   
     900226     1919    14P             Wolf                   
     900227     1925    14P             Wolf                   
     900228     1934    14P             Wolf                   
     900229     1942    14P             Wolf                   
